1,299153786,8917530,8071316
2,299837523,3471977,3309500
3,297520160,3523505,1043666
4,299655553,621251,276805
5,299258652,4768887,4027539
6,299259274,3246906,2506181
7,299579185,5615727,5194912
8,298639565,4698920,3338486
9,292274773,8785040,1059814
10,299205685,1723750,929436
11,290132437,10440793,573230
12,299277196,8134276,7411473
13,299031246,2783393,1814639
14,297403412,3434904,838317
15,290349083,11271502,1620586
16,299541875,4399972,3941848
17,299968462,421264,389727
18,297498766,7975734,5474500
19,295651911,8877470,4529382
20,297570667,3781417,1352085
21,298919446,4733330,3652777
22,296393843,4295628,689472
23,299334240,6234620,5568861
24,296638305,6670347,3308652
25,296710259,11977997,8688256
26,298261124,10856938,9118062
27,298705628,9516847,8222475
28,294945648,10424394,5370043
29,299379773,2866557,2246331
30,295489856,9592273,5082130
31,299633752,1914495,1548248
32,296874383,8897378,5771762
33,293301448,6761965,63413
34,299259856,1635479,895336
35,297966454,5693029,3659484
36,293866695,6623534,490229
37,296725916,3094284,179799
38,295053642,5901770,955412
39,292870082,9671659,2541742
40,291810839,8738766,549606
41,283834733,16616415,451149
42,282013054,22407893,4420948
43,275282779,21763066,2954154
44,263162059,37434443,596502
45,249746747,39447598,10805653
46,221411219,64092549,14496231
47,203884288,74857024,21258686
48,177051348,95526365,27422285
49,151658623,111539930,36801446
50,129519815,121224886,49255298
51,102099113,141986026,55914860
52,80548264,150455085,68996649
53,60839706,152403273,86757020
54,51254224,143545029,105200745
55,32405456,148864166,118730376
56,32163518,134940842,132895638
57,26085340,137096791,136817868
58,20411134,124141235,155447629
59,12752359,122633709,164613931
60,13954620,105235230,180810148
61,11615623,104253940,184130436
62,10382399,88886732,200730867
63,5926075,85268273,208805651
64,6264074,77315527,216420398
65,5215258,73864009,220920731
66,3402884,71056810,225540305
67,5359526,57863135,236777337
68,5215368,52321884,242462747
69,3999690,57113084,246886605
70,2927877,45452108,251620014
