Day,Suspected,Infected,Recovered,Quarantined
1,296243849,9335180,3995200,1583828
2,297393696,2998153,206136,185713
3,298946471,1773528,178437,541563
4,295103838,10007560,920252,4191146
5,299818344,1238573,412007,644911
6,299878882,348678,19033,208527
7,297508796,7120833,3527968,1101661
8,297798126,2366788,2373,162541
9,297609142,4525836,114643,2020335
10,298274887,6764097,730937,4308048
11,294898210,5732992,66818,564384
12,298095896,9420317,6523491,992723
13,295024244,8514835,1421269,2117811
14,293050178,7223113,130570,142721
15,299551872,1246044,104624,693293
16,299836114,1802570,588594,1050090
17,293481945,9653241,2547113,588073
18,296444314,8906300,4079043,1271571
19,293866224,9337827,1159186,2044865
20,299221781,1129297,325158,25920
21,299808898,746066,151663,403300
22,295900119,8591400,3455490,1036028
23,299851592,202016,6448,47160
24,299063070,967378,30488,39
25,298411418,6698019,1755511,3353925
26,299694276,3671970,3194809,171436
27,299324875,1060811,340910,44777
28,294022237,8532746,1954740,600244
29,289577588,10965130,291999,250719
30,291400424,10700837,503825,1597436
31,297942256,3231462,109623,1064094
32,294238375,5832475,376800,305950
33,292892177,6737266,227189,597745
34,291605649,13161283,5685701,918768
35,291127046,12550363,2020227,1657183
36,280349676,15469426,1873292,2307605
37,279001810,15335370,2722488,2940330
38,272158458,18497181,5240670,4103690
39,258592413,29553857,5988430,5865298
40,240543967,42506217,8262959,8686855
41,220727425,52455135,13722846,13094592
42,190815060,63817394,20501733,24865811
43,158120679,73919772,33170097,34789450
44,139618087,74246663,42223338,43911910
45,119547831,77984630,52247120,50220416
46,95434235,77031561,68281816,59252386
47,83326328,72403285,78363910,65906474
48,69373137,62041107,95070549,73515205
49,59671671,57411213,107653265,75263849
50,55751031,50902954,116281088,77064926
51,50057576,44890977,127822005,77229440
52,45018059,33872601,143653988,77455350
53,41898597,29653314,153592262,74855825
54,32950227,30873353,163393582,72782836
