Day,Suspected,Infected,Recovered
1,299471370,619000,90371
2,296798136,3890937,689074
3,294868088,7284030,2152119
4,299815522,4018526,3834049
5,293427021,7862391,1289413
6,293192348,7478695,671044
7,299322237,3509563,2831800
8,294966212,11444766,6410978
9,296383298,9727201,6110500
10,295763067,4520350,283418
11,292604087,10153194,2757282
12,295069153,9367114,4436267
13,297979238,3036065,1015303
14,299915568,250423,165991
15,299283193,2613050,1896244
16,298516115,1483945,61
17,296106650,4571137,677787
18,293990370,6828323,818694
19,293417876,10674115,4091991
20,299674091,340831,14923
21,297766155,11526092,9292248
22,295923343,7150647,3073991
23,297848319,3496687,1345007
24,295158080,11249713,6407794
25,299204805,2859114,2063920
26,299591430,467006,58436
27,296933055,3758731,691786
28,299227601,1192889,420491
29,299798268,1621497,1419766
30,299800277,3249840,3050117
31,292874173,8580887,1455060
32,297819751,10694863,8514614
33,294458823,11161490,5620313
34,299151863,1340563,492427
35,298654383,3711247,2365630
36,294309137,9132664,3441802
37,295678521,5074081,752603
38,295781634,4309817,91451
39,289019132,11832198,851330
40,288360455,16697902,5058357
41,286296132,14327556,623689
42,282588297,14091399,3320303
43,272266681,29442369,1709051
44,263767350,35298751,933897
45,249879340,41394447,8726212
46,231493374,59159950,9346674
47,208174696,71885735,19939567
48,180757180,93438434,25804384
49,153651982,109343939,37004077
50,128594603,127751048,43654348
51,102468282,136956576,60575140
52,81946024,150433333,67620642
53,65258489,146410678,88330832
54,51496811,143367466,105135722
