Suspected,Infected,Recovered,Vacinated,Death
3351927.0,27783.0,269654807.0,0.0,26965480.0
3351779.0,25014.0,269657460.0,0.0,26965746.0
3351646.0,22520.0,269659848.0,0.0,26965984.0
3351526.0,20275.0,269661998.0,0.0,26966199.0
3351417.0,18254.0,269663934.0,0.0,26966393.0
3351320.0,16434.0,269665677.0,0.0,26966567.0
3351232.0,14796.0,269667246.0,0.0,26966724.0
3351154.0,13321.0,269668658.0,0.0,26966865.0
3351083.0,11993.0,269669930.0,0.0,26966993.0
3351019.0,10797.0,269671075.0,0.0,26967107.0
3350961.0,9721.0,269672106.0,0.0,26967210.0
3350909.0,8752.0,269673034.0,0.0,26967303.0
3350863.0,7879.0,269673870.0,0.0,26967387.0
3350820.0,7094.0,269674622.0,0.0,26967462.0
3350783.0,6386.0,269675299.0,0.0,26967529.0
3350749.0,5750.0,269675909.0,0.0,26967590.0
3350718.0,5176.0,269676458.0,0.0,26967645.0
3350690.0,4660.0,269676952.0,0.0,26967695.0
3350665.0,4196.0,269677397.0,0.0,26967739.0
3350643.0,3777.0,269677798.0,0.0,26967779.0
3350623.0,3401.0,269678159.0,0.0,26967815.0
3350605.0,3062.0,269678484.0,0.0,26967848.0
3350589.0,2756.0,269678776.0,0.0,26967877.0
3350574.0,2482.0,269679039.0,0.0,26967903.0
3350561.0,2234.0,269679276.0,0.0,26967927.0
3350549.0,2011.0,269679489.0,0.0,26967948.0
3350538.0,1811.0,269679682.0,0.0,26967968.0
3350528.0,1630.0,269679854.0,0.0,26967985.0
3350520.0,1468.0,269680010.0,0.0,26968001.0
3350512.0,1321.0,269680150.0,0.0,26968015.0
3350505.0,1190.0,269680277.0,0.0,26968027.0
3350498.0,1071.0,269680390.0,0.0,26968039.0
3350493.0,964.0,269680492.0,0.0,26968049.0
3350488.0,868.0,269680585.0,0.0,26968058.0
3350483.0,781.0,269680667.0,0.0,26968066.0
3350479.0,703.0,269680742.0,0.0,26968074.0
